show_id;title;duration;listed_in
382650;Cleopatra Jones;89 min;Action & Adventure, Classic Movies
70044705;Code Name: The Cleaner;91 min;Action & Adventure, Comedies
449931;Doctor Zhivago;200 min;Classic Movies, Dramas, Romantic Movies
81189912;Drive;119 min;Action & Adventure, International Movies
80215046;Elliot the Littlest Reindeer;90 min;Children & Family Movies
60036838;Enter the Dragon;103 min;Action & Adventure, Classic Movies
81179693;Euphoria;110 min;Dramas, International Movies, LGBTQ Movies
485218;Executive Decision;133 min;Action & Adventure
1192866;Fallen;124 min;Thrillers
11819434;Fear and Loathing in Las Vegas;118 min;Comedies, Cult Movies, Dramas
81050375;Fire in Paradise;40 min;Documentaries
516788;Forbidden Planet;98 min;Action & Adventure, Classic Movies, Sci-Fi & Fantasy
70048968;Getting Played;85 min;Comedies, Romantic Movies
542137;Gigi;115 min;Classic Movies, Comedies, Music & Musicals
60021796;Gosford Park;137 min;Comedies, Dramas, International Movies
60031247;Gothika;98 min;Horror Movies, Thrillers
60000577;Grease;110 min;Classic Movies, Comedies, Music & Musicals
80241387;Hache;1 Season;Crime TV Shows, International TV Shows, Spanish-Language TV Shows
80090673;Haikyu!!;2 Seasons;Anime Series, International TV Shows, Teen TV Shows
70039241;Harlem Globetrotters: The Team That Changed the World;55 min;Documentaries, Sports Movies
80227818;Hello Ninja;1 Season;Kids' TV
80094603;Highway Thru Hell;3 Seasons;Reality TV
80231468;Holiday in the Wild;86 min;Children & Family Movies, Dramas, Romantic Movies
81083786;Holly Star;92 min;Children & Family Movies, Comedies, Romantic Movies
80153894;How to Be a Latin Lover;116 min;Comedies
1179333;How to Be a Player;94 min;Comedies
70118779;Invictus;134 min;Dramas, Sports Movies
653673;Jimi Hendrix;102 min;Documentaries, Music & Musicals
70020947;King's Ransom;98 min;Action & Adventure, Comedies
70117305;Legion;100 min;Action & Adventure, Horror Movies, Sci-Fi & Fantasy
701346;Like Water for Chocolate;105 min;Classic Movies, Dramas, International Movies
70111489;Listen Up! The Lives of Quincy Jones;116 min;Documentaries, Music & Musicals
709163;Logan's Run;118 min;Action & Adventure, Classic Movies, Cult Movies
709380;Lolita;153 min;Classic Movies, Dramas, Romantic Movies
1150871;Love Jones;109 min;Comedies, Dramas, Independent Movies
80239860;Love, Chunibyo & Other Delusions!;2 Seasons;Anime Series, Romantic TV Shows, Teen TV Shows
70082264;Mad Money;99 min;Comedies
81104406;Maid-Sama!;1 Season;Anime Series, Romantic TV Shows
80144355;Mars;2 Seasons;Docuseries, Science & Nature TV, TV Dramas
80150290;Mobile Suit Gundam: Iron-Blooded Orphans;2 Seasons;Anime Series, International TV Shows
1179583;Money Talks;96 min;Action & Adventure, Comedies
70044595;Monster House;91 min;Children & Family Movies, Comedies
60011729;Mutiny on the Bounty;185 min;Action & Adventure, Classic Movies, Dramas
70044883;Nacho Libre;92 min;Comedies, Sports Movies
22497725;National Lampoon's Loaded Weapon 1;82 min;Action & Adventure, Comedies, Independent Movies
60021590;Ocean's Eleven;127 min;Action & Adventure, Classic Movies, Comedies
60023638;Paid in Full;98 min;Action & Adventure, Dramas
81075744;Queer Eye: We're in Japan!;1 Season;International TV Shows, Reality TV
70031792;Rebel Without a Cause;111 min;Classic Movies, Dramas
70100383;Revolutionary Road;120 min;Dramas, Romantic Movies
60002403;Rosemary's Baby;137 min;Classic Movies, Horror Movies, Thrillers
17236920;Rounders;121 min;Dramas
923574;Rumble in the Bronx;89 min;Action & Adventure, Comedies, International Movies
81152930;Santa Girl;91 min;Children & Family Movies, Comedies, Romantic Movies
973861;Sling Blade;135 min;Dramas, Independent Movies
70058796;Sparkle;98 min;Dramas, Music & Musicals
70047101;Spider-Man 3;139 min;Action & Adventure, Sci-Fi & Fantasy
81189396;Spitfire: The Plane that Saved the World;95 min;Documentaries
70093991;Step Brothers;98 min;Comedies
60033247;Superfly;91 min;Action & Adventure, Classic Movies, Dramas
81022003;The Boulet Brothers Dragula;2 Seasons;Reality TV
70060000;The Brave One;122 min;Dramas, Thrillers
70295067;The Christmas Candle;100 min;Dramas, Faith & Spirituality
70031779;The Cincinnati Kid;103 min;Classic Movies, Dramas
80101401;The Deep;3 Seasons;Kids' TV
1178866;The Game;129 min;Thrillers
60033312;The Great Raid;133 min;Action & Adventure, Dramas
81030409;The House of Flowers Presents: The Funeral;36 min;Movies
80182016;The King;141 min;Dramas
684847;The Last Boy Scout;105 min;Action & Adventure, Comedies
81150305;The Man Without Gravity;107 min;Dramas, International Movies
20557937;The Matrix;136 min;Action & Adventure, Sci-Fi & Fantasy
60027695;The Matrix Reloaded;138 min;Action & Adventure, Sci-Fi & Fantasy
60031303;The Matrix Revolutions;129 min;Action & Adventure, Sci-Fi & Fantasy
81170692;The Old Thieves: The Legend of Artegios;97 min;Documentaries, International Movies
848915;The Pelican Brief;141 min;Dramas, Thrillers
60022980;The Tuxedo;99 min;Action & Adventure, Comedies
60003961;Thelonious Monk: Straight, No Chaser;89 min;Documentaries, Music & Musicals
81035120;True: Grabbleapple Harvest;24 min;Movies
70060005;Vantage Point;90 min;Action & Adventure
70266992;Vientos de agua;1 Season;International TV Shows, Spanish-Language TV Shows, TV Dramas
80218819;We Are the Wave;1 Season;International TV Shows, TV Dramas, TV Mysteries
70084791;Wild Child;98 min;Comedies, Romantic Movies
81170694;Zoé: Panoramas;89 min;Documentaries, International Movies, Music & Musicals
70123542;Zombieland;88 min;Comedies, Horror Movies
81084225;Grego Rossello: Disculpe las molestias;65 min;Stand-Up Comedy
80992228;KENGAN ASHURA;2 Seasons;Anime Series, International TV Shows
80113037;Midnight Diner: Tokyo Stories;2 Seasons;International TV Shows, TV Dramas
80203920;Nowhere Man;1 Season;Crime TV Shows, International TV Shows, TV Action & Adventure
80242051;Sleepless Society: Bedtime Wishes;1 Season;Crime TV Shows, International TV Shows, TV Dramas
81166978;Bring It On, Ghost;1 Season;International TV Shows, Korean TV Shows, Romantic TV Shows
80991060;Flavorful Origins;2 Seasons;Docuseries, International TV Shows
81177371;Mehandi Circus;126 min;Dramas, International Movies, Romantic Movies
81167029;Tomorrow with You;1 Season;International TV Shows, Korean TV Shows, Romantic TV Shows
81142594;Tunnel;1 Season;Crime TV Shows, International TV Shows, TV Dramas
81148672;Arsenio Hall: Smart & Classy;63 min;Stand-Up Comedy
81169914;Shine On with Reese;1 Season;Docuseries
81211714;The Road to El Camino: Behind the Scenes of El Camino: A Breaking Bad Movie;14 min;Documentaries, International Movies
80244679;A 3 Minute Hug;28 min;Documentaries, International Movies
81034099;Jeopardy!;5 Seasons;Reality TV
81110394;Little Miss Sumo;20 min;Documentaries, International Movies, Sports Movies
81197399;Wait, My Youth;1 Season;International TV Shows, Romantic TV Shows, Teen TV Shows
81185502;A Little Thing Called First Love;1 Season;International TV Shows, Romantic TV Shows, Teen TV Shows
81123469;The Last Whistle;88 min;Dramas, Sports Movies
80081372;A Tale of Love and Darkness;98 min;Dramas, International Movies
81136744;Assimilate;94 min;Horror Movies, Sci-Fi & Fantasy, Thrillers
70300800;BoJack Horseman;6 Seasons;TV Comedies
80221210;Brotherhood;1 Season;Crime TV Shows, International TV Shows, TV Dramas
81192130;ChuChu TV Kids Songs, Learning Videos & Bedtime Stories;2 Seasons;Kids' TV
81132444;Consequences ;106 min;Dramas, International Movies, Thrillers
80182014;Dolemite Is My Name;118 min;Comedies, Dramas
81010786;Drug Squad: Costa del Sol;1 Season;Crime TV Shows, International TV Shows, Spanish-Language TV Shows
80095435;Greenhouse Academy;3 Seasons;Kids' TV, TV Dramas, Teen TV Shows
81078456;It Takes a Lunatic;127 min;Documentaries
81105406;Monzón: A Knockout Blow;1 Season;Crime TV Shows, International TV Shows, Spanish-Language TV Shows
81121023;My Next Guest with David Letterman and Shah Rukh Khan;61 min;International Movies
81061828;Nailed It! France;1 Season;International TV Shows, Reality TV
81062582;Nailed It! Spain;1 Season;International TV Shows, Reality TV, Spanish-Language TV Shows
81017316;Prank Encounters;1 Season;Reality TV, TV Comedies, TV Horror
81018455;Rattlesnake;86 min;Horror Movies, Independent Movies, Thrillers
81110383;The Awakening of Motti Wolkenbruch;94 min;Comedies, Dramas, International Movies
80201680;The Kominsky Method;2 Seasons;TV Comedies, TV Dramas
81200228;The Untamed;1 Season;International TV Shows, TV Action & Adventure, TV Mysteries
81011059;Booba;3 Seasons;Kids' TV, TV Comedies
80197462;Daybreak;1 Season;TV Action & Adventure, TV Comedies, TV Horror
81034741;Echo in the Canyon;82 min;Documentaries, Music & Musicals
81075461;Revenge of the Pontianak;92 min;Horror Movies, International Movies
80017261;American Heist;95 min;Action & Adventure, Dramas
81038022;Breakfast, Lunch & Dinner;1 Season;Docuseries
80186796;Dancing with the Birds;52 min;Documentaries
81071891;Master Z: The Ip Man Legacy;108 min;Action & Adventure, International Movies
70295169;Hunter's Prayer;91 min;Action & Adventure, Independent Movies
80039050;I'll See You in My Dreams;96 min;Comedies, Dramas, Independent Movies
81027753;Jenny Slate: Stage Fright;67 min;Documentaries, Stand-Up Comedy
15815343;The Texas Chainsaw Massacre;83 min;Cult Movies, Horror Movies, Independent Movies
70295176;Tracers;94 min;Action & Adventure
81043190;يوم الدين;97 min;Dramas, Independent Movies, International Movies
80091310;Free Fire;91 min;Action & Adventure, Comedies, Independent Movies
80995687;Little Singham: Kaal Ki Tabaahi;66 min;Children & Family Movies, Comedies
60001650;Men in Black;98 min;Action & Adventure, Comedies, Sci-Fi & Fantasy
81172848;Moms at War;92 min;Comedies, Dramas, International Movies
81034575;The Command;118 min;Dramas, International Movies, Thrillers
81172729;10 Days in Sun City;87 min;Comedies, International Movies, Romantic Movies
81172895;93 Days;121 min;Dramas, International Movies, Thrillers
80211634;Baby;2 Seasons;International TV Shows, TV Dramas, Teen TV Shows
80206910;Eli;98 min;Horror Movies
81172905;In My Country;99 min;Dramas, International Movies
80217627;Interior Design Masters;1 Season;British TV Shows, International TV Shows, Reality TV
80176872;Little Baby Bum: Nursery Rhyme Friends;2 Seasons;British TV Shows, Kids' TV
80178724;Living with Yourself;1 Season;TV Comedies, TV Dramas
81132442;Love, Surreal and Odd;95 min;Comedies, International Movies, Romantic Movies
80126646;MeatEater;4 Seasons;Docuseries, Reality TV, Science & Nature TV
81020066;Mighty Little Bheem: Diwali;1 Season;Kids' TV, TV Comedies
81193245;MONKART;1 Season;Kids' TV, Korean TV Shows
81172723;New Money;107 min;Dramas, International Movies
80990336;Seventeen;100 min;Comedies, Dramas, International Movies
81094271;Spirit Riding Free: Pony Tales;2 Seasons;Kids' TV
81172909;Tatu;101 min;Action & Adventure, Dramas, International Movies
80214706;Tell Me Who I Am;86 min;Documentaries
80160935;The House of Flowers;2 Seasons;International TV Shows, Spanish-Language TV Shows, TV Comedies
80994011;The Laundromat;96 min;Comedies, Dramas
81064730;Toon;2 Seasons;International TV Shows, TV Comedies
80208910;Unnatural Selection;1 Season;Docuseries, Science & Nature TV
81172902;Up North;99 min;Dramas, International Movies
80998890;Upstarts;112 min;Comedies, Dramas, International Movies
81047903;Verses of Love 2;127 min;Dramas, Faith & Spirituality, International Movies
80227516;Chosen;2 Seasons;Crime TV Shows, International TV Shows, TV Action & Adventure
70125931;The Karate Kid;140 min;Children & Family Movies, Dramas
80222326;THE UNLISTED;1 Season;Kids' TV, TV Thrillers
81077044;Another Miss Oh;1 Season;International TV Shows, Korean TV Shows, Romantic TV Shows
81081656;Ghosts of Sugar Land;22 min;Documentaries
81187847;League of Legends Origins;78 min;Documentaries
81053240;Park Na-rae: Glamour Warning;63 min;Stand-Up Comedy
81167011;Second 20s;1 Season;International TV Shows, Korean TV Shows, Romantic TV Shows
80043834;Sinister 2;97 min;Horror Movies
81157840;The Game Changers;86 min;Documentaries, Sports Movies
80176234;Black Money Love;1 Season;Crime TV Shows, International TV Shows, TV Dramas
80992769;Dark Crimes;93 min;Dramas, Thrillers
81191228;Homeland;73 min;Dramas, Independent Movies, International Movies
81154549;Magical Andes;1 Season;Docuseries, International TV Shows, Science & Nature TV
81192594;Power Rangers Beast Morphers;1 Season;Kids' TV
70267476;Saint Seiya;3 Seasons;Anime Series
80990869;Martin Matte: La vie, la mort...eh la la..!;62 min;Stand-Up Comedy
81034012;Street Flow;96 min;Dramas, International Movies
81191500;The Lies Within;1 Season;Crime TV Shows, International TV Shows, Korean TV Shows
81132441;Bygones Be Bygones;104 min;Comedies, International Movies, Romantic Movies
81078819;El Camino: A Breaking Bad Movie;123 min;Dramas, Thrillers
80223997;Fractured;100 min;Thrillers
80195378;Haunted;2 Seasons;Reality TV, TV Horror, TV Thrillers
80179905;Insatiable;2 Seasons;TV Comedies, TV Dramas, Teen TV Shows
81191666;The Bling Lagosians;99 min;Dramas, International Movies
81133621;The Forest of Love;151 min;Dramas, International Movies, Thrillers
80190086;The Hook Up Plan;2 Seasons;International TV Shows, Romantic TV Shows, TV Comedies
81038598;The Influence;102 min;Horror Movies, International Movies
80212481;YooHoo to the Rescue;2 Seasons;Kids' TV, Korean TV Shows
81172568;Beyblade Burst Turbo;1 Season;Anime Series, Kids' TV
81171871;GEN HOSHINO STADIUM TOUR “POP VIRUS”;154 min;International Movies, Music & Musicals
80036165;Schitt's Creek;5 Seasons;TV Comedies
81019771;Ultramarine Magmell;1 Season;Anime Series, International TV Shows
80244311;After;106 min;Dramas, Romantic Movies
81183570;Home Is Where the Killer Is;87 min;Dramas, Thrillers
80216665;Rhythm + Flow;1 Season;Reality TV
80995737;Deon Cole: Cole Hearted;70 min;Stand-Up Comedy
81021976;The Spooky Tale of Captain Underpants Hack-a-ween;46 min;Children & Family Movies, Comedies
80025390;The Water Diviner;111 min;Dramas, International Movies
81016338;Love for Sale;101 min;Dramas, International Movies, Romantic Movies
80215730;Legend Quest: Masters of Myth;1 Season;Kids' TV
